Treatment,Locus,Number of alleles,Number of effective alleles,Shannons information,Heterozygosity-obs,Heterozygosity,uHe,Gen,Pop-size,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC1,4,2.887,1.191,0.4,0.654,0.667,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC2,3,1.513,0.635,0.24,0.339,0.346,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC3,3,2.013,0.761,0.56,0.503,0.513,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC4,3,2.236,0.877,0.08,0.553,0.564,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC7,4,2.437,1.075,0.44,0.59,0.602,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC8,4,2.137,0.966,0.4,0.532,0.543,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC9,5,2.535,1.183,0.2,0.606,0.618,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense3,AC12,2,1.814,0.641,0.04,0.449,0.458,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC1,4,1.82,0.871,0.08,0.45,0.46,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC2,2,1.95,0.68,0.28,0.487,0.497,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC3,3,2.955,1.091,0.64,0.662,0.675,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC4,4,2.302,0.989,0.32,0.566,0.577,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC7,5,3.406,1.384,0.36,0.706,0.721,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC8,3,2.828,1.068,0.56,0.646,0.66,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC9,4,2.451,1.064,0.16,0.592,0.604,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense4,AC12,2,1.676,0.593,0.08,0.403,0.411,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC1,4,2.023,0.916,0.4,0.506,0.516,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC2,1,1,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC3,2,1.083,0.168,0.08,0.077,0.078,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC4,5,2.927,1.215,0.04,0.658,0.672,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC7,6,2.572,1.186,0.28,0.611,0.624,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC8,3,1.568,0.656,0.2,0.362,0.37,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC9,5,2.671,1.179,0.32,0.626,0.638,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Intense5,AC12,2,1.268,0.367,0,0.211,0.216,1,2,,,,,,,,,,,,,,,,,,,,,,,,
